,LocationX,LocationY,Sightings
663,115.74,-32.14,9
664,115.74,-32.13,8
665,115.74,-32.09,2
666,115.74,-32.08,2
667,115.74,-32.06,23
668,115.74,-32.05,5
669,115.74,-32.04,18
670,115.74,-32.03,89
671,115.74,-32.02,9
672,115.74,-32.0,228
673,115.74,-31.99,306
674,115.74,-31.98,1
675,115.74,-31.96,10
676,115.74,-31.94,11
677,115.74,-31.93,12
678,115.74,-31.91,3
679,115.74,-31.9,5
680,115.74,-31.89,172
681,115.74,-31.88,2
682,115.74,-31.87,7
683,115.74,-31.86,6
684,115.74,-31.85,1
685,115.74,-31.84,1
686,115.74,-31.83,18
687,115.74,-31.82,3
688,115.74,-31.78,1
689,115.75,-34.55,8
690,115.75,-32.48,2
691,115.75,-32.47,16
692,115.75,-32.45,2
693,115.75,-32.44,1
694,115.75,-32.43,11
695,115.75,-32.41,7
696,115.75,-32.26,1
697,115.75,-32.24,3
698,115.75,-32.22,1
699,115.75,-32.19,9
700,115.75,-32.12,1
701,115.75,-32.09,5
702,115.75,-32.08,27
703,115.75,-32.04,2
704,115.75,-32.03,54
705,115.75,-32.02,6
706,115.75,-32.01,1
707,115.75,-32.0,76
708,115.75,-31.99,15
709,115.75,-31.98,186
710,115.75,-31.96,36
711,115.75,-31.94,293
712,115.75,-31.93,216
713,115.75,-31.9,187
714,115.75,-31.89,15
715,115.75,-31.88,61
716,115.75,-31.87,56
717,115.75,-31.86,32
718,115.75,-31.85,19
719,115.75,-31.84,7
720,115.75,-31.83,1
721,115.76,-32.57,2
722,115.76,-32.25,3
723,115.76,-32.24,2
724,115.76,-32.23,1
725,115.76,-32.19,1
726,115.76,-32.16,1
727,115.76,-32.14,3
728,115.76,-32.12,2
729,115.76,-32.11,19
730,115.76,-32.09,1
731,115.76,-32.03,2
732,115.76,-31.98,5
733,115.76,-31.97,4
734,115.76,-31.95,4
735,115.76,-31.94,4
736,115.76,-31.93,35
737,115.76,-31.92,8
738,115.76,-31.91,14
739,115.76,-31.9,2
740,115.76,-31.89,42
741,115.77,-32.21,1
742,115.77,-32.19,1
743,115.77,-32.17,1
744,115.78,-32.19,1
745,115.78,-32.03,3
746,115.78,-32.02,2
747,115.78,-32.01,4
748,115.78,-32.0,1
749,115.79,-32.01,11
750,115.8,-32.58,2
751,115.81,-34.59,2
752,115.81,-32.0,1
753,115.81,-31.99,2
754,115.82,-32.01,1
755,115.82,-31.98,3
756,115.83,-32.0,2
757,115.83,-31.99,1
758,115.84,-31.97,1
759,115.85,-32.02,3
760,115.85,-32.01,13
761,115.85,-32.0,2
762,115.85,-31.99,3
763,115.85,-21.01,2
764,115.86,-34.64,2
765,115.86,-32.05,1
766,115.86,-32.04,4
767,115.86,-32.03,9
768,115.86,-32.02,3
769,115.86,-31.97,5
770,115.86,-31.96,1
771,115.87,-32.03,3
772,115.87,-31.97,6
773,115.87,-31.96,1
774,115.88,-32.02,1
775,115.88,-31.97,1
776,115.88,-31.95,5
777,115.89,-32.02,3
778,115.89,-31.95,2
779,115.9,-32.03,4
780,115.9,-32.02,9
781,115.9,-31.95,2
782,115.91,-31.95,1
783,115.92,-31.94,1
784,115.92,-31.93,2
785,115.94,-31.93,1
786,115.94,-31.92,1
787,115.95,-34.77,1
788,115.95,-31.91,1
789,115.96,-34.75,2
790,115.96,-31.9,1
791,116.0,-34.81,2
792,116.02,-34.85,1
793,116.03,-34.84,1
794,116.51,-35.01,1
795,116.57,-35.02,4
796,116.63,-20.64,1
797,116.65,-35.05,1
798,116.7,-20.66,2
799,116.72,-34.98,1
800,116.73,-34.98,2
801,116.73,-20.64,1
802,116.73,-20.63,2
803,116.74,-35.03,1
804,116.74,-34.99,1
805,116.78,-35.03,1
806,116.8,-20.63,1
807,116.84,-35.04,1
808,116.88,-20.64,1
809,116.91,-35.06,1
810,116.92,-20.71,1
811,116.93,-35.04,11
812,116.94,-35.05,1
813,116.94,-35.04,1
814,116.95,-35.05,2
815,117.08,-35.04,1
816,117.11,-35.04,2
817,117.16,-35.04,4
818,117.17,-35.03,3
819,117.18,-20.59,1
820,117.19,-20.64,2
821,117.19,-20.61,1
822,117.26,-35.03,1
823,117.27,-35.02,1
824,117.28,-35.02,2
825,117.33,-35.03,21
826,117.34,-35.03,2
827,117.35,-35.03,1
828,117.35,-34.99,1
829,117.37,-34.97,2
830,117.52,-35.08,1
831,117.61,-35.13,2
832,117.63,-35.11,3
833,117.64,-35.11,1
834,117.64,-35.07,8
835,117.68,-35.05,1
836,117.69,-35.05,1
837,117.69,-35.04,6
838,117.78,-35.06,4
839,117.8,-35.07,6
840,117.87,-35.06,1
841,117.88,-35.03,1
842,117.89,-35.05,3
843,117.9,-35.12,1
844,117.91,-35.13,7
845,117.92,-35.12,1
846,117.92,-35.05,1
847,117.92,-35.04,1
848,117.92,-35.02,356
849,117.92,-35.01,8
850,117.93,-35.13,1
851,117.93,-35.12,1
852,117.93,-35.06,1
853,117.93,-35.02,13
854,117.93,-35.01,2
855,117.94,-35.14,1
856,117.94,-35.09,1
857,117.94,-35.08,4
858,117.94,-35.06,5
859,117.94,-35.05,3
860,117.94,-35.01,1
861,117.95,-35.09,349
862,117.95,-35.02,1
863,117.95,-35.0,5
864,117.95,-34.96,1
865,117.96,-35.02,2
866,117.96,-35.01,1
867,117.97,-35.1,1
868,117.97,-35.02,2
869,117.97,-35.01,5
870,117.98,-35.07,1
871,118.0,-35.09,3
872,118.0,-35.02,2
873,118.01,-35.05,1
874,118.04,-35.03,1
875,118.04,-35.02,1
876,118.05,-35.08,1
877,118.06,-35.04,3
878,118.08,-35.0,2
879,118.08,-34.99,12
880,118.11,-35.0,8
881,118.16,-35.04,1
882,118.17,-34.96,2
883,118.19,-34.95,1
884,118.2,-34.98,5
885,118.21,-34.94,1
886,118.21,-34.93,1
887,118.4,-34.88,9
888,118.4,-34.86,7
889,118.4,-34.82,1
890,118.41,-34.87,8
891,118.41,-34.86,1
892,118.41,-34.83,1
893,118.42,-34.79,2
894,118.43,-34.79,3
895,118.46,-34.92,3
896,118.48,-34.95,3
897,118.49,-34.9,1
898,118.57,-20.29,1
899,118.6,-20.31,1
900,118.6,-20.3,2
901,118.64,-20.31,1
902,118.67,-34.71,1
903,118.75,-34.62,1
904,119.11,-34.47,1
905,119.21,-34.5,1
906,119.36,-34.47,1
907,119.38,-34.39,1
908,119.4,-34.44,1
909,119.41,-34.42,1
910,119.41,-34.41,1
911,119.42,-34.37,1
912,119.44,-34.41,6
913,119.45,-34.37,1
914,119.48,-34.39,1
915,119.49,-34.38,2
916,119.52,-34.36,1
917,119.52,-34.24,3
918,119.59,-34.17,1
919,119.98,-33.96,1
920,120.12,-33.96,2
921,120.12,-33.95,2
922,120.14,-33.96,1
923,120.15,-33.94,3
924,120.47,-34.11,1
925,121.17,-33.87,1
926,121.21,-33.87,1
927,121.29,-33.83,1
928,121.61,-34.03,1
929,121.65,-18.76,1
930,121.72,-18.69,2
931,121.75,-33.9,1
932,121.78,-33.9,2
933,121.79,-33.94,4
934,121.79,-33.92,3
935,121.8,-33.92,1
936,121.8,-33.91,4
937,121.82,-33.9,1
938,121.82,-33.89,12
939,121.83,-33.9,5
940,121.83,-33.89,16
941,121.84,-33.89,5
942,121.85,-33.9,1
943,121.85,-33.89,21
944,121.86,-33.89,7
945,121.86,-33.88,9
946,121.87,-33.88,5
947,121.88,-33.88,756
948,121.89,-33.88,4
949,121.89,-33.86,15
950,121.9,-33.92,3
951,121.9,-33.89,2
952,121.9,-33.88,4
953,121.9,-33.86,5
954,121.91,-33.86,3
955,121.91,-33.84,8
956,121.92,-33.86,2
957,121.92,-33.84,1
958,121.93,-33.86,3
959,121.93,-33.83,4
960,121.97,-34.03,1
961,121.97,-33.86,1
962,121.98,-33.83,7
963,121.99,-33.92,1
964,121.99,-33.84,1
965,121.99,-33.83,4
966,122.0,-33.84,1
967,122.01,-33.96,1
968,122.01,-33.84,66
969,122.02,-33.88,1
970,122.02,-33.85,1
971,122.03,-33.85,22
972,122.07,-33.9,1
973,122.09,-18.32,1
974,122.11,-33.99,2
975,122.11,-33.98,1
976,122.13,-34.02,1
977,122.15,-34.01,2
978,122.16,-34.01,4
979,122.17,-34.02,1
980,122.17,-34.0,2
981,122.18,-17.97,8
982,122.18,-17.96,1
983,122.19,-17.95,1
984,122.2,-34.0,1
985,122.2,-17.96,43
986,122.2,-17.71,1
987,122.21,-18.01,1
988,122.21,-18.0,1
989,122.22,-17.99,7
990,122.22,17.77,1
991,122.23,-34.0,1
992,122.23,-33.99,27
993,122.23,-17.98,1
994,122.23,-17.97,4
995,122.24,-17.97,1
996,122.25,-34.14,1
997,122.27,-34.14,2
998,122.3,-33.94,1
999,122.35,-33.92,1
1000,122.5,-33.94,1
1001,122.51,-33.95,1
1002,122.54,-33.94,2
1003,122.54,-33.93,3
1004,122.58,-33.92,3
1005,122.76,-33.88,1
1006,122.79,-33.88,1
1007,122.82,-33.93,1
1008,122.82,-33.9,2
1009,122.82,-16.54,1
1010,122.83,-33.91,14
1011,122.84,-33.91,1
1012,122.89,-33.89,1
1013,122.99,-33.89,1
1014,122.99,-33.88,1
1015,123.01,-33.87,3
1016,123.14,-34.01,1
1017,123.16,-33.97,1
1018,123.19,-34.02,1
1019,123.19,-16.41,1
1020,123.47,-16.82,1
1021,123.55,-34.36,5
1022,123.56,-34.37,17
1023,124.87,-14.44,1
1024,126.05,-32.27,2
